month,make,importer_type,fuel_type,vehicle_type,number
2016-01,ALFA ROMEO,,Petrol,Hatchback,3
2016-01,ALPINA,,Petrol,Hatchback,0
2016-01,ASTON MARTIN,,Petrol,Hatchback,0
2016-01,AUDI,,Petrol,Hatchback,45
2016-01,B.M.W.,,Petrol,Hatchback,5
2016-01,B.M.W.,,Diesel,Hatchback,72
2016-01,B.M.W.,,Others,Hatchback,0
2016-01,BENTLEY,,Petrol,Hatchback,0
2016-01,CHERY,,Petrol,Hatchback,3
2016-01,CHEVROLET,,Petrol,Hatchback,0
2016-01,CHRYSLER,,Diesel,Hatchback,0
2016-01,CITROEN,,Petrol,Hatchback,0
2016-01,CITROEN,,Diesel,Hatchback,0
2016-01,DAIHATSU,,Petrol,Hatchback,0
2016-01,FERRARI,,Petrol,Hatchback,0
2016-01,FIAT,,Petrol,Hatchback,0
2016-01,FORD,,Petrol,Hatchback,4
2016-01,HONDA,,Petrol,Hatchback,183
2016-01,HONDA,,Others,Hatchback,0
2016-01,HYUNDAI,,Petrol,Hatchback,8
2016-01,HYUNDAI,,Diesel,Hatchback,0
2016-01,INFINITI,,Petrol,Hatchback,0
2016-01,JAGUAR,,Petrol,Hatchback,0
2016-01,JAGUAR,,Diesel,Hatchback,0
2016-01,JEEP,,Petrol,Hatchback,0
2016-01,KIA,,Petrol,Hatchback,2
2016-01,KIA,,Diesel,Hatchback,0
2016-01,KOENIGSEGG,,Petrol,Hatchback,0
2016-01,LAMBORGHINI,,Petrol,Hatchback,0
2016-01,LAND ROVER,,Petrol,Hatchback,0
2016-01,LAND ROVER,,Diesel,Hatchback,0
2016-01,M.G.,,Petrol,Hatchback,0
2016-01,MASERATI,,Petrol,Hatchback,0
2016-01,MASERATI,,Diesel,Hatchback,0
2016-01,MAZDA,,Petrol,Hatchback,77
2016-01,MAZDA,,Diesel,Hatchback,0
2016-01,Mclaren,,Petrol,Hatchback,0
2016-01,MERCEDES BENZ,,Petrol,Hatchback,80
2016-01,MERCEDES BENZ,,Diesel,Hatchback,0
2016-01,MERCEDES BENZ,,Others,Hatchback,0
2016-01,MINI,,Petrol,Hatchback,23
2016-01,MINI,,Diesel,Hatchback,4
2016-01,MITSUBISHI,,Petrol,Hatchback,0
2016-01,MITSUBISHI,,Others,Hatchback,0
2016-01,NISSAN,,Petrol,Hatchback,68
2016-01,NISSAN,,Others,Hatchback,0
2016-01,OPEL,,Petrol,Hatchback,2
2016-01,PERODUA,,Petrol,Hatchback,1
2016-01,PEUGEOT,,Petrol,Hatchback,5
2016-01,PEUGEOT,,Diesel,Hatchback,0
2016-01,PORSCHE,,Petrol,Hatchback,0
2016-01,PORSCHE,,Diesel,Hatchback,0
2016-01,RENAULT,,Petrol,Hatchback,0
2016-01,RENAULT,,Diesel,Hatchback,8
2016-01,ROLLS ROYCE,,Petrol,Hatchback,0
2016-01,SSANGYONG,,Petrol,Hatchback,0
2016-01,SSANGYONG,,Diesel,Hatchback,0
2016-01,SUBARU,,Petrol,Hatchback,0
2016-01,SUZUKI,,Petrol,Hatchback,19
2016-01,TESLA,,Others,Hatchback,0
2016-01,TOYOTA,,Petrol,Hatchback,0
2016-01,TOYOTA,,Diesel,Hatchback,0
2016-01,TOYOTA,,Others,Hatchback,26
2016-01,TRIUMPH,,Petrol,Hatchback,0
2016-01,VOLKSWAGEN,,Petrol,Hatchback,93
2016-01,VOLKSWAGEN,,Diesel,Hatchback,0
2016-01,VOLVO,,Petrol,Hatchback,47
2016-01,VOLVO,,Diesel,Hatchback,0
2016-01,ALFA ROMEO,,Petrol,Sedan,0
2016-01,ALPINA,,Petrol,Sedan,0
2016-01,ASTON MARTIN,,Petrol,Sedan,0
2016-01,AUDI,,Petrol,Sedan,90
2016-01,B.M.W.,,Petrol,Sedan,88
2016-01,B.M.W.,,Diesel,Sedan,2
2016-01,B.M.W.,,Others,Sedan,0
2016-01,BENTLEY,,Petrol,Sedan,4
2016-01,CHERY,,Petrol,Sedan,0
2016-01,CHEVROLET,,Petrol,Sedan,33
2016-01,CHRYSLER,,Diesel,Sedan,0
2016-01,CITROEN,,Petrol,Sedan,0
2016-01,CITROEN,,Diesel,Sedan,0
2016-01,DAIHATSU,,Petrol,Sedan,0
2016-01,FERRARI,,Petrol,Sedan,0
2016-01,FIAT,,Petrol,Sedan,0
2016-01,FORD,,Petrol,Sedan,2
2016-01,HONDA,,Petrol,Sedan,55
2016-01,HONDA,,Others,Sedan,0
2016-01,HYUNDAI,,Petrol,Sedan,215
2016-01,HYUNDAI,,Diesel,Sedan,0
2016-01,INFINITI,,Petrol,Sedan,31
2016-01,JAGUAR,,Petrol,Sedan,28
2016-01,JAGUAR,,Diesel,Sedan,14
2016-01,JEEP,,Petrol,Sedan,0
